CustomerID,Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
49960,45,Female,37,107.95,Month-to-month,Electronic check,4055.11,No
66599,31,Male,48,21.06,Month-to-month,Bank transfer,974.23,No
99090,32,Male,19,78.22,Month-to-month,Bank transfer,1449.41,Yes
34452,26,Female,13,55.94,Month-to-month,Electronic check,712.35,Yes
34081,66,Female,62,126.89,Month-to-month,Credit card,7925.04,Yes
63588,19,Female,63,66.66,Month-to-month,Electronic check,4080.81,No
4294,32,Male,41,45.36,Two year,Electronic check,1880.92,No
69103,76,Male,31,110.12,Month-to-month,Bank transfer,3422.61,Yes
86412,80,Male,49,92.59,One year,Electronic check,4530.1,No
99477,65,Female,42,11.74,Month-to-month,Bank transfer,491.37,Yes
53930,27,Male,42,97.7,Month-to-month,Credit card,4119.51,Yes
87071,71,Male,35,117.07,Month-to-month,Credit card,4063.63,No
65084,77,Female,26,130.45,Month-to-month,Electronic check,3387.52,No
30713,62,Male,66,84.96,One year,Electronic check,5577.04,No
49183,29,Female,64,115.31,Month-to-month,Electronic check,7342.9,Yes
57235,29,Female,37,54.67,Two year,Credit card,2013.37,No
15664,43,Female,14,118.48,Month-to-month,Mailed check,1513.3,No
19967,48,Male,64,92.72,One year,Electronic check,5942.91,No
91913,28,Female,63,105.05,Month-to-month,Electronic check,6706.03,No
91958,56,Female,14,147.99,Month-to-month,Mailed check,2042.66,Yes
81347,21,Male,71,82.93,Two year,Bank transfer,5953.04,No
55326,66,Male,34,123.73,Two year,Electronic check,4138.76,Yes
29858,79,Female,7,47.33,One year,Bank transfer,301.21,No
71223,67,Female,43,135.94,One year,Electronic check,5901.39,Yes
52459,61,Female,70,136.58,One year,Mailed check,9664.86,No
88346,77,Male,29,51.57,One year,Electronic check,1409.24,No
82364,78,Female,33,137.88,Month-to-month,Credit card,4643.3,Yes
65350,22,Male,63,139.75,Month-to-month,Mailed check,8868.2,Yes
59650,74,Male,59,98.42,Month-to-month,Mailed check,5867.61,No
44953,42,Male,56,61.45,Month-to-month,Mailed check,3465.17,Yes
39526,35,Male,54,121.19,One year,Mailed check,6693.35,No
13936,80,Female,35,99.01,Month-to-month,Electronic check,3430.85,No
93781,68,Male,33,100.01,Month-to-month,Electronic check,3320.46,Yes
89885,67,Male,11,46.53,Month-to-month,Electronic check,444.53,Yes
81144,76,Female,22,36.53,One year,Mailed check,800.39,No
95800,49,Male,9,91.1,Month-to-month,Credit card,813.72,Yes
89405,65,Female,41,74.18,Month-to-month,Bank transfer,3032.52,No
55224,24,Male,14,38.31,Month-to-month,Credit card,472.3,No
73646,29,Male,2,12.62,Month-to-month,Electronic check,63.0,Yes
66294,61,Male,11,11.02,Month-to-month,Electronic check,57.45,Yes
65540,64,Female,13,113.62,Month-to-month,Mailed check,1453.06,Yes
28111,30,Female,55,54.56,Two year,Electronic check,2992.58,No
41929,41,Male,38,111.71,Month-to-month,Electronic check,4219.44,Yes
86547,22,Male,20,52.1,Month-to-month,Credit card,1090.11,No
82586,22,Female,33,96.52,Month-to-month,Mailed check,3194.66,No
38604,22,Female,40,41.52,One year,Mailed check,1617.79,No
91658,68,Male,67,64.11,Month-to-month,Credit card,4344.12,No
62787,22,Female,57,25.98,Month-to-month,Mailed check,1510.4,Yes
84341,34,Female,39,95.84,Month-to-month,Electronic check,3821.57,No
39875,29,Male,17,119.88,Month-to-month,Credit card,2053.63,Yes
78469,77,Male,13,119.72,One year,Mailed check,1496.5,No
31632,38,Female,61,144.51,Month-to-month,Mailed check,8827.1,No
14953,33,Female,11,43.06,Month-to-month,Electronic check,492.49,Yes
39332,23,Female,25,91.88,One year,Credit card,2287.49,No
48588,23,Male,18,81.44,One year,Mailed check,1507.97,No
83595,78,Female,4,36.72,One year,Credit card,88.54,No
41488,30,Male,23,149.47,Month-to-month,Electronic check,3412.95,No
39628,41,Male,63,30.97,Two year,Electronic check,1917.29,No
87895,52,Female,46,140.23,Month-to-month,Bank transfer,6439.36,Yes
26304,34,Female,1,87.33,One year,Mailed check,138.59,No
67404,77,Male,10,121.86,Two year,Mailed check,1247.05,Yes
98085,19,Female,67,134.18,Two year,Bank transfer,9026.52,No
95602,45,Female,55,114.46,Month-to-month,Electronic check,6288.07,Yes
5020,55,Female,44,109.49,Month-to-month,Bank transfer,4743.76,No
5224,58,Male,50,97.09,Month-to-month,Bank transfer,4800.43,No
15781,21,Female,70,135.26,One year,Mailed check,9354.85,No
45557,29,Male,61,30.17,One year,Credit card,1856.18,No
12897,18,Male,3,129.8,Two year,Bank transfer,358.46,Yes
34305,72,Female,32,66.4,Month-to-month,Electronic check,2222.28,Yes
93323,32,Female,37,102.54,One year,Mailed check,3793.59,No
5325,70,Male,30,13.68,Month-to-month,Electronic check,402.99,Yes
52926,40,Male,58,138.09,Month-to-month,Mailed check,8098.94,Yes
62865,55,Female,26,138.89,Month-to-month,Mailed check,3613.91,Yes
8019,71,Male,59,41.0,Month-to-month,Mailed check,2477.31,No
82945,31,Male,19,144.99,Two year,Electronic check,2773.03,No
90377,65,Other,10,64.84,Month-to-month,Electronic check,647.75,No
41721,58,Female,17,34.14,Two year,Electronic check,647.08,No
867,65,Male,41,102.26,Month-to-month,Bank transfer,4193.02,Yes
98444,56,Female,65,129.56,Month-to-month,Mailed check,8402.04,No
83040,45,Female,16,16.51,Month-to-month,Mailed check,277.2,No
13925,19,Female,67,128.7,Month-to-month,Electronic check,8691.3,Yes
79893,62,Female,14,70.84,One year,Electronic check,985.86,No
31184,21,Male,63,148.1,Month-to-month,Mailed check,9359.39,No
13800,36,Female,31,98.82,Month-to-month,Electronic check,2960.28,No
40989,65,Female,43,142.74,Month-to-month,Credit card,6160.9,No
66734,53,Male,37,92.07,One year,Bank transfer,3394.45,No
78331,39,Female,47,104.9,Month-to-month,Electronic check,4936.5,No
24379,69,Female,57,104.46,One year,Credit card,5984.74,No
23415,71,Male,42,111.86,Month-to-month,Mailed check,4714.13,No
97560,30,Female,30,67.22,Two year,Mailed check,2009.89,No
22993,31,Male,18,41.24,Two year,Credit card,712.08,No
3232,22,Male,69,36.08,Month-to-month,Bank transfer,2444.97,No
41996,47,Female,61,21.42,Month-to-month,Mailed check,1332.33,No
49188,72,Male,15,79.66,Two year,Electronic check,1254.11,No
22515,62,Female,59,24.63,Month-to-month,Electronic check,1437.39,No
21326,70,Male,54,94.23,Month-to-month,Credit card,5180.14,No
86234,43,Female,63,139.38,One year,Electronic check,8780.86,No
88127,80,Male,15,104.73,One year,Mailed check,1553.83,No
29824,65,Female,34,146.2,One year,Electronic check,5067.32,No
92485,79,Male,19,143.27,One year,Mailed check,2762.1,No
68425,49,Female,55,60.81,Month-to-month,Electronic check,3403.1,No
64484,80,Male,49,20.67,Month-to-month,Mailed check,994.4,No
51020,32,Male,25,76.44,Two year,Electronic check,1872.19,No
26754,35,Female,68,82.87,Month-to-month,Credit card,5647.67,Yes
49964,55,Male,1,60.82,Two year,Electronic check,-8.14,No
42732,33,Male,19,11.0,Month-to-month,Mailed check,161.89,No
29057,57,Female,29,82.94,Two year,Electronic check,2320.65,No
55318,60,Male,7,108.37,Month-to-month,Mailed check,708.3,Yes
35497,66,Male,30,15.97,Month-to-month,Mailed check,441.42,No
56338,52,Other,21,22.43,Month-to-month,Mailed check,435.27,Yes
79278,43,Female,19,42.03,Month-to-month,Mailed check,772.1,No
5465,35,Male,40,81.49,Month-to-month,Mailed check,3248.14,Yes
70156,53,Male,17,122.31,Two year,Mailed check,2044.05,No
70670,40,Female,25,127.58,Two year,Bank transfer,3213.62,No
56014,28,Male,45,132.97,Two year,Credit card,6042.21,No
12086,21,Female,24,121.53,Two year,Electronic check,2879.27,No
56819,49,Female,26,20.1,One year,Mailed check,520.41,No
20001,33,Male,64,119.9,Month-to-month,Electronic check,7657.11,Yes
69067,59,Other,30,90.16,One year,Electronic check,2657.08,No
50453,77,Female,23,96.58,One year,Credit card,2281.52,No
90710,66,Male,2,77.52,Two year,Electronic check,125.48,Yes
52885,42,Female,7,137.93,Month-to-month,Credit card,963.99,Yes
30964,60,Female,35,61.19,Two year,Electronic check,2098.47,No
34574,54,Female,8,52.37,Month-to-month,Electronic check,494.42,Yes
15295,34,Male,16,29.52,Two year,Mailed check,484.26,No
27919,32,Male,27,149.16,Month-to-month,Credit card,4067.07,Yes
46121,20,Male,60,19.95,Month-to-month,Bank transfer,1211.33,No
35074,23,Female,24,54.01,One year,Credit card,1250.12,No
10551,56,Male,8,86.58,Month-to-month,Mailed check,749.34,Yes
91128,43,Male,13,119.22,One year,Mailed check,1593.83,Yes
691,62,Female,64,62.8,Month-to-month,Credit card,4017.27,Yes
77730,46,Female,8,28.3,One year,Electronic check,194.58,Yes
36097,63,Other,71,79.61,Month-to-month,Electronic check,5579.8,No
65352,32,Male,69,108.26,One year,Electronic check,7488.57,Yes
11041,33,Other,71,41.26,Month-to-month,Bank transfer,2934.99,No
4222,74,Male,63,121.63,Month-to-month,Electronic check,7668.47,Yes
822,70,Male,4,53.22,Month-to-month,Bank transfer,280.44,No
38129,30,Male,42,141.96,Month-to-month,Bank transfer,6061.57,No
89152,63,Female,56,93.93,Month-to-month,Mailed check,5358.72,No
29232,34,Female,65,52.94,Month-to-month,Electronic check,3507.69,No
50557,54,Male,2,95.58,Two year,Credit card,229.59,Yes
33685,46,Female,56,70.59,Month-to-month,Electronic check,3950.74,No
58754,42,Female,35,32.25,One year,Credit card,1163.37,No
27023,75,Male,36,60.16,One year,Electronic check,2130.22,No
36906,79,Male,39,58.52,Month-to-month,Credit card,2325.57,Yes
271,58,Male,8,66.68,Month-to-month,Bank transfer,473.9,Yes
8867,45,Male,37,72.81,Two year,Mailed check,2672.48,No
15007,25,Female,59,104.77,Two year,Credit card,6216.17,No
4689,20,Male,60,49.73,Month-to-month,Mailed check,2930.66,No
81996,48,Female,4,25.25,Two year,Mailed check,76.96,Yes
84373,40,Female,24,23.37,Month-to-month,Credit card,577.15,No
2515,74,Male,68,134.32,Month-to-month,Bank transfer,9095.64,Yes
36400,55,Female,66,48.33,Month-to-month,Bank transfer,3200.08,No
38869,37,Female,51,93.61,Month-to-month,Bank transfer,4838.34,No
58245,36,Male,51,140.96,One year,Bank transfer,7200.47,No
30410,69,Female,69,119.35,Two year,Bank transfer,8212.4,No
54795,19,Male,48,85.89,Month-to-month,Electronic check,4177.75,No
19264,61,Male,60,60.51,Two year,Mailed check,3645.3,No
83910,66,Male,37,93.86,Month-to-month,Bank transfer,3463.78,No
26974,76,Male,40,112.42,Month-to-month,Mailed check,4526.7,No
7130,58,Male,66,83.03,Month-to-month,Electronic check,5498.08,No
7145,66,Female,66,39.68,Two year,Mailed check,2550.67,No
45466,73,Female,57,138.99,Two year,Electronic check,7871.38,No
1967,66,Female,66,146.56,Month-to-month,Bank transfer,9576.17,Yes
15153,32,Female,53,51.76,Month-to-month,Electronic check,2689.86,No
19114,31,Male,68,85.69,Month-to-month,Electronic check,5792.36,Yes
76207,32,Male,29,97.24,One year,Electronic check,2828.94,No
32142,41,Female,36,62.43,One year,Mailed check,2224.93,No
21935,43,Male,23,55.32,Two year,Bank transfer,1359.89,No
40360,77,Male,28,20.49,One year,Bank transfer,570.85,No
53842,46,Female,54,58.64,Two year,Mailed check,3104.34,No
9163,57,Female,20,41.62,Month-to-month,Credit card,707.34,Yes
87844,34,Female,30,51.95,Two year,Bank transfer,1604.15,No
37630,35,Female,5,114.12,One year,Mailed check,494.63,Yes
83305,28,Male,21,27.22,Two year,Electronic check,615.72,No
66270,28,Male,19,78.47,One year,Bank transfer,1391.93,No
34654,65,Male,29,12.12,Month-to-month,Bank transfer,306.21,No
41963,41,Female,71,100.48,Month-to-month,Mailed check,7183.35,Yes
39591,31,Female,53,38.76,Month-to-month,Electronic check,2013.79,No
81036,18,Other,23,91.97,Month-to-month,Mailed check,2211.79,No
10981,35,Male,50,53.01,Month-to-month,Bank transfer,2687.99,No
56300,39,Male,50,136.58,Two year,Bank transfer,6749.86,No
61549,30,Female,15,99.26,Month-to-month,Credit card,1414.84,Yes
88401,42,Male,49,108.73,Month-to-month,Bank transfer,5369.27,Yes
44324,24,Male,5,111.1,Two year,Mailed check,475.15,Yes
55208,72,Female,2,118.61,One year,Electronic check,300.68,Yes
53528,51,Male,2,123.33,One year,Credit card,222.04,Yes
26971,31,Female,11,104.33,Two year,Electronic check,1130.42,No
73218,23,Male,4,11.03,Two year,Bank transfer,80.3,No
65891,66,Male,32,129.59,Month-to-month,Electronic check,4087.34,No
42222,48,Female,27,45.68,Month-to-month,Credit card,1201.38,No
97866,38,Female,46,130.62,One year,Credit card,5950.1,No
12251,74,Male,16,40.56,Month-to-month,Electronic check,619.97,No
69437,75,Male,1,77.89,Month-to-month,Electronic check,150.6,Yes
38433,63,Female,64,81.22,Month-to-month,Electronic check,5243.35,No
40890,53,Female,71,140.15,Month-to-month,Electronic check,9994.62,Yes
30999,67,Male,15,36.13,Month-to-month,Electronic check,518.92,No
56146,43,Male,3,87.82,One year,Electronic check,267.48,Yes
95414,46,Other,10,56.65,One year,Bank transfer,578.54,Yes
22156,64,Female,41,34.61,Month-to-month,Electronic check,1431.9,No
17614,39,Male,39,11.84,Month-to-month,Bank transfer,443.59,Yes
56444,21,Female,42,83.66,Month-to-month,Mailed check,3534.23,Yes
98400,19,Male,36,51.51,Month-to-month,Bank transfer,1845.83,No
24053,47,Male,71,131.85,One year,Electronic check,9332.97,No
50243,31,Female,69,28.05,Two year,Electronic check,1865.51,No
58999,64,Male,61,109.67,One year,Electronic check,6690.11,No
31345,70,Female,72,32.37,Two year,Bank transfer,2362.29,No
61242,28,Female,35,134.27,Two year,Credit card,4750.91,No
92530,41,Female,40,25.06,Two year,Mailed check,1036.29,No
80829,66,Female,59,21.98,One year,Mailed check,1307.71,No
51726,51,Male,17,40.93,Month-to-month,Bank transfer,656.77,Yes
33880,19,Female,24,34.05,One year,Electronic check,828.15,No
83007,36,Female,2,57.27,Month-to-month,Electronic check,81.31,No
73909,34,Male,61,99.59,Month-to-month,Mailed check,6074.92,No
67247,76,Female,67,145.72,Two year,Bank transfer,9823.26,No
88808,39,Female,51,108.5,Month-to-month,Electronic check,5490.22,Yes
13122,73,Male,40,124.89,Month-to-month,Mailed check,5011.34,Yes
8258,55,Male,44,62.37,Month-to-month,Credit card,2786.66,No
93381,46,Male,63,49.86,One year,Bank transfer,3192.57,No
13915,33,Male,56,124.65,One year,Credit card,6936.59,Yes
30903,52,Female,5,62.99,One year,Bank transfer,313.9,Yes
72859,69,Male,40,66.93,Month-to-month,Mailed check,2653.29,No
20293,75,Male,13,56.32,Two year,Electronic check,737.73,No
58171,55,Female,18,56.0,One year,Mailed check,945.35,No
20950,44,Male,63,60.99,Month-to-month,Bank transfer,3814.42,No
36695,20,Female,2,77.06,One year,Mailed check,223.02,No
8526,29,Female,10,112.62,Month-to-month,Bank transfer,1094.41,Yes
78272,41,Male,11,92.78,Month-to-month,Credit card,969.16,Yes
77403,46,Female,61,75.37,Month-to-month,Credit card,4571.15,No
77652,22,Male,37,39.2,Month-to-month,Credit card,1519.68,Yes
99837,20,Female,69,60.43,Month-to-month,Electronic check,4117.18,No
92272,38,Other,63,131.61,Month-to-month,Electronic check,8277.7,Yes
29776,79,Male,50,115.1,Two year,Electronic check,5732.82,No
34808,28,Male,41,83.3,Month-to-month,Bank transfer,3356.68,No
16886,80,Female,29,111.2,Month-to-month,Credit card,3342.39,No
49984,31,Male,27,138.52,Month-to-month,Mailed check,3703.92,No
62615,37,Male,14,40.93,Month-to-month,Credit card,539.36,No
14229,28,Male,63,51.98,Two year,Electronic check,3347.86,No
52177,34,Female,47,98.6,Two year,Mailed check,4672.62,No
8029,45,Female,60,77.64,Month-to-month,Mailed check,4676.34,Yes
28922,31,Female,47,119.88,Month-to-month,Credit card,5649.28,No
69420,39,Female,28,94.68,Month-to-month,Mailed check,2614.12,No
70812,49,Male,18,86.6,Month-to-month,Credit card,1569.44,No
34364,58,Male,18,97.31,Month-to-month,Mailed check,1760.5,Yes
43204,32,Male,13,122.43,Month-to-month,Electronic check,1558.36,Yes
36795,56,Male,55,117.16,Two year,Mailed check,6479.4,Yes
97027,73,Female,16,100.1,Two year,Bank transfer,1582.86,No
63343,78,Female,16,102.07,Month-to-month,Electronic check,1678.35,No
36956,39,Male,37,114.25,One year,Electronic check,4235.66,No
69229,32,Female,52,15.62,Month-to-month,Mailed check,751.47,No
9424,52,Male,64,82.24,Month-to-month,Credit card,5180.11,No
86001,46,Female,33,108.84,One year,Credit card,3562.84,No
16959,64,Male,56,80.82,One year,Credit card,4465.42,No
21615,75,Male,29,131.51,Two year,Electronic check,3748.88,No
61462,39,Male,16,106.08,Two year,Electronic check,1675.71,No
61774,79,Male,3,23.72,Two year,Electronic check,112.04,No
86802,64,Male,37,96.55,Month-to-month,Credit card,3622.67,No
67503,59,Male,22,12.71,Month-to-month,Bank transfer,308.96,Yes
79371,57,Female,6,143.54,Month-to-month,Bank transfer,906.51,Yes
34497,73,Female,46,44.93,Month-to-month,Electronic check,2131.79,Yes
43009,36,Male,8,119.38,Month-to-month,Electronic check,861.57,Yes
91598,28,Female,69,106.66,Month-to-month,Electronic check,7282.4,Yes
75439,66,Female,62,12.21,One year,Electronic check,717.74,No
29720,57,Male,8,78.42,Month-to-month,Electronic check,634.57,Yes
38607,80,Male,61,70.33,Month-to-month,Credit card,4195.66,No
77127,25,Female,34,113.09,Month-to-month,Mailed check,3818.29,Yes
97088,65,Male,2,47.7,One year,Electronic check,37.39,No
24627,65,Male,22,93.45,Two year,Mailed check,2035.95,No
61815,74,Female,55,33.75,Two year,Electronic check,1867.15,No
69756,64,Female,9,98.95,One year,Mailed check,924.49,No
11931,79,Female,16,47.03,Month-to-month,Mailed check,798.46,No
16161,27,Female,33,88.63,One year,Bank transfer,2958.3,No
47440,34,Male,1,23.41,Month-to-month,Electronic check,14.81,Yes
34606,41,Female,58,116.91,One year,Credit card,6803.89,Yes
14107,43,Female,23,82.51,Two year,Electronic check,1906.13,No
90651,66,Male,39,37.8,Month-to-month,Bank transfer,1437.84,Yes
98435,25,Female,33,46.6,Month-to-month,Electronic check,1533.52,No
17503,73,Male,11,136.19,Month-to-month,Mailed check,1481.89,Yes
63486,43,Male,52,92.96,Two year,Electronic check,4822.59,No
33076,77,Male,42,127.13,Month-to-month,Electronic check,5345.45,Yes
79809,18,Female,33,31.69,One year,Electronic check,1067.59,No
90791,39,Male,66,49.19,One year,Mailed check,3195.05,No
93365,60,Male,66,17.31,Month-to-month,Credit card,1212.51,Yes
18293,80,Female,38,34.08,Month-to-month,Electronic check,1296.73,No
43850,64,Female,26,112.31,Two year,Bank transfer,2873.73,Yes
35068,65,Female,20,19.93,Month-to-month,Electronic check,391.06,No
61393,39,Male,32,32.0,Month-to-month,Electronic check,1024.55,Yes
27382,41,Male,7,136.24,Month-to-month,Credit card,965.39,Yes
85414,65,Female,36,142.83,Month-to-month,Bank transfer,5166.98,Yes
13798,22,Female,56,60.89,Month-to-month,Electronic check,3433.46,Yes
1729,18,Other,53,95.69,One year,Electronic check,5034.79,No
66101,35,Female,19,13.27,Month-to-month,Bank transfer,217.72,No
7678,78,Male,27,113.74,Month-to-month,Credit card,3105.39,Yes
73315,40,Male,8,88.78,Month-to-month,Electronic check,704.04,Yes
69696,34,Female,1,111.43,Two year,Electronic check,198.48,Yes
5439,66,Female,26,140.97,Month-to-month,Credit card,3728.11,Yes
73381,40,Female,5,14.0,Two year,Bank transfer,55.83,Yes
34591,73,Female,63,146.33,Month-to-month,Electronic check,9229.28,Yes
8453,44,Female,62,76.16,Month-to-month,Electronic check,4674.63,Yes
6235,24,Female,65,31.98,Month-to-month,Bank transfer,2084.19,Yes
56580,51,Male,31,102.22,Month-to-month,Mailed check,3098.37,No
44069,70,Male,67,134.73,Month-to-month,Electronic check,9060.43,No
73662,78,Female,36,13.79,Month-to-month,Credit card,561.38,No
18242,36,Male,1,103.17,One year,Electronic check,138.0,Yes
72560,44,Male,1,92.86,Two year,Bank transfer,135.39,No
11373,32,Male,2,76.13,Month-to-month,Electronic check,205.74,No
53068,35,Male,24,11.13,Two year,Credit card,188.05,No
54397,60,Other,66,116.69,Month-to-month,Electronic check,7749.6,No
60744,52,Female,17,65.26,Month-to-month,Credit card,1128.27,No
4233,20,Female,50,143.63,One year,Mailed check,7294.34,No
66150,57,Female,13,15.21,Month-to-month,Electronic check,206.43,No
227,70,Female,55,147.48,Month-to-month,Bank transfer,8091.33,Yes
38051,76,Male,10,138.68,Month-to-month,Electronic check,1416.59,Yes
75831,48,Female,26,17.16,Month-to-month,Electronic check,514.04,Yes
11713,19,Female,3,38.31,One year,Credit card,212.42,Yes
89799,25,Female,48,65.29,One year,Electronic check,3121.7,No
84722,47,Female,29,18.63,Two year,Credit card,521.67,No
11651,52,Male,15,48.14,Month-to-month,Credit card,738.35,No
63793,61,Male,19,110.37,Two year,Credit card,2017.42,No
18332,28,Female,24,12.88,One year,Credit card,294.55,No
59465,66,Male,64,67.23,Month-to-month,Mailed check,4254.33,Yes
31839,69,Female,4,17.22,Month-to-month,Electronic check,-23.72,Yes
35888,58,Female,56,86.88,Month-to-month,Mailed check,4834.56,No
70558,60,Other,46,66.84,Month-to-month,Bank transfer,3113.72,No
68842,49,Male,60,59.53,Two year,Bank transfer,3648.09,No
44300,24,Female,9,105.55,One year,Bank transfer,889.09,Yes
39432,73,Male,20,120.47,One year,Electronic check,2428.27,No
71758,71,Male,31,133.82,One year,Electronic check,4179.27,No
51267,28,Male,53,86.65,One year,Mailed check,4605.82,No
49809,75,Male,39,61.89,Month-to-month,Electronic check,2401.37,No
86689,25,Female,44,63.65,One year,Bank transfer,2766.28,No
61005,21,Male,55,143.89,Month-to-month,Electronic check,7827.74,Yes
60771,44,Male,11,58.35,One year,Bank transfer,708.97,No
88,57,Female,29,13.73,Month-to-month,Mailed check,375.93,No
77204,60,Female,59,127.44,Month-to-month,Electronic check,7375.8,No
51988,67,Male,65,49.05,One year,Electronic check,3124.23,No
82150,63,Male,21,148.5,Month-to-month,Bank transfer,3120.59,Yes
43734,41,Male,41,139.01,Month-to-month,Credit card,5707.52,Yes
95182,42,Male,49,108.27,Month-to-month,Electronic check,5324.02,Yes
88477,49,Female,17,47.09,Two year,Electronic check,729.97,No
62006,50,Female,70,66.03,Month-to-month,Electronic check,4625.49,Yes
30884,41,Female,20,81.49,Month-to-month,Bank transfer,1706.6,No
50767,59,Female,68,39.67,Month-to-month,Credit card,2738.26,Yes
74956,55,Male,55,136.86,Month-to-month,Mailed check,7525.46,No
12751,55,Male,26,15.33,Two year,Mailed check,370.97,No
36507,32,Male,29,27.49,Month-to-month,Mailed check,883.42,Yes
